occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,Vacancy,Power Outage
1.0,0.0495,0.0495,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0739,0,0
1.0,0.111,0.111,0.0,0.0,0.0,0.0,0.326,0.511,0.511,0.0,0.0,0.123,0,0
1.0,0.111,0.111,0.0,0.0,0.0,0.0,0.326,0.511,0.511,0.0,0.0,0.0,0,0
1.0,0.172,0.172,0.0,0.0,0.0,0.0,0.395,0.556,0.556,0.0,0.0,0.217,0,0
1.0,0.289,0.289,0.0,0.0,0.0,0.0,0.497,0.658,0.658,0.0,0.0,0.0,0,0
1.0,0.289,0.289,0.0,0.0,0.0,0.0,0.497,0.658,0.658,0.0,0.0,0.0,0,0
1.0,0.369,0.369,0.0,0.0,0.0,0.0,0.577,0.722,0.722,0.0,0.0,0.234,0,0
1.0,0.369,0.369,0.0,0.0,0.0,0.0,0.577,0.722,0.722,0.0,0.0,0.449,0,0
1.0,0.477,0.477,0.4,0.0,0.0,0.0,0.475,0.806,0.806,0.0,0.0,0.0,0,0
1.0,0.477,0.477,1.0,0.0,0.0,0.0,0.475,0.806,0.806,0.0,0.0,0.331,0,0
1.0,0.477,0.477,0.667,0.0,0.0,0.0,0.475,0.806,0.806,0.0,0.0,0.0276,0,0
0.8,0.392,0.392,0.0,0.0,0.0,0.0,0.432,0.737,0.737,0.0,0.0,0.0,0,0
0.6,0.314,0.314,0.0,0.0,0.0,0.0,0.296,0.669,0.669,0.0,0.0,0.0,0,0
0.6,0.314,0.314,0.0,0.0,0.0,0.0,0.296,0.669,0.669,0.0,0.0,0.0,0,0
0.6,0.314,0.314,0.0,0.0,0.0,0.0,0.296,0.669,0.669,0.0,0.0,0.0,0,0
0.6,0.314,0.314,0.0,0.0,0.0,0.0,0.296,0.669,0.669,0.0,0.0,0.0773,0,0
0.6,0.306,0.306,0.0,0.0,0.0,0.0,0.304,0.669,0.669,0.0,0.0,0.0,0,0
